id,name,prefix,parent_id
131169,Phường Trà An,Phường,1918
131171,Phường Trà Nóc,Phường,1918
131153,Phường Châu Văn Liêm,Phường,1917
131157,Phường Long Hưng,Phường,1917
131162,Phường Phước Thới,Phường,1917
131159,Phường Thới An,Phường,1917
131154,Phường Thới Hòa,Phường,1917
131156,Phường Thới Long,Phường,1917
131165,Phường Trường Lạc,Phường,1917
131150,Phường An Bình,Phường,1916
131129,Phường An Cư,Phường,1916
131120,Phường An Hòa,Phường,1916
131132,Phường An Hội,Phường,1916
131149,Phường An Khánh,Phường,1916
131138,Phường An Lạc,Phường,1916
131126,Phường An Nghiệp,Phường,1916
131141,Phường An Phú,Phường,1916
131117,Phường Cái Khế,Phường,1916
131147,Phường Hưng Lợi,Phường,1916
131135,Phường Tân An,Phường,1916
131123,Phường Thới Bình,Phường,1916
131144,Phường Xuân Khánh,Phường,1916
130797,Xã Phú Lợi,Xã,1914
130799,Xã Phú Mỹ,Xã,1914
130796,Xã Tân Khánh Hòa,Xã,1914
130793,Xã Vĩnh Điều,Xã,1914
130791,Xã Vĩnh Phú,Xã,1914
131027,Xã An Minh Bắc,Xã,1913
131057,Xã Hoà Chánh,Xã,1913
131066,Xã Minh Thuận,Xã,1913
131012,Xã Thạnh Yên,Xã,1913
131015,Xã Thạnh Yên A,Xã,1913
131054,Xã Vĩnh Hòa,Xã,1913
131114,Xã An Sơn,Xã,1912
131108,Xã Hòn Tre,Xã,1912
131111,Xã Lại Sơn,Xã,1912
131115,Xã Nam Du,Xã,1912
131081,Thị trấn An Thới,Thị trấn,1911
131078,Thị trấn Dương Đông,Thị trấn,1911
131102,Xã Bãi Thơm,Xã,1911
131084,Xã Cửa Cạn,Xã,1911
131090,Xã Cửa Dương,Xã,1911
131096,Xã Dương Tơ,Xã,1911
131087,Xã Gành Dầu,Xã,1911
131093,Xã Hàm Ninh,Xã,1911
131099,Xã Hòn Thơm,Xã,1911
131105,Xã Thổ Châu,Xã,1911
131051,Thị trấn Vĩnh Thuận,Thị trấn,1910
131064,Xã Bình Minh,Xã,1910
131074,Xã Phong Đông,Xã,1910
131072,Xã Tân Thuận,Xã,1910
131060,Xã Vĩnh Bình Bắc,Xã,1910
131063,Xã Vĩnh Bình Nam,Xã,1910
131075,Xã Vĩnh Phong,Xã,1910
131069,Xã Vĩnh Thuận,Xã,1910
131018,Thị trấn Thứ Mười Một,Thị trấn,1909
131024,Xã Đông Hòa,Xã,1909
131033,Xã Đông Hưng,Xã,1909
131036,Xã Đông Hưng A,Xã,1909
131039,Xã Đông Hưng B,Xã,1909
131030,Xã Đông Thạnh,Xã,1909
131031,Xã Tân Thạnh,Xã,1909
131021,Xã Thuận Hoà,Xã,1909
131042,Xã Vân Khánh,Xã,1909
131045,Xã Vân Khánh Đông,Xã,1909
