ID_2016,ID_ADS,NOTE,DB_2016,ADD-SERVICE,ADS_PREFIX,PARENT_ID,PARENT,TYPE,,
126956,807,x,Ph??ng 22,2,Ph??ng,66,Bình Th?nh,1,,
126962,807,x,Ph??ng 28,2,Ph??ng,66,Bình Th?nh,1,,
126905,815,x,Ph??ng 13,3,Ph??ng,66,Bình Th?nh,1,,
126920,816,x,Ph??ng 25,5,Ph??ng,66,Bình Th?nh,1,,
126938,816,x,Ph??ng 15,5,Ph??ng,66,Bình Th?nh,1,,
126914,817,x,Ph??ng 26,6,Ph??ng,66,Bình Th?nh,1,,
126911,818,x,Ph??ng 27,7,Ph??ng,66,Bình Th?nh,1,,
126950,818,x,Ph??ng 17,7,Ph??ng,66,Bình Th?nh,1,,
119171,9993,x,Xã Hoàn Tr?ch,Hoà Tr?ch,Xã,645,B? Tr?ch,1,,
119147,9996,x,Xã Th??ng Tr?ch,H?ng Tr?ch,Xã,645,B? Tr?ch,1,,
119138,10005,x,Xã Phúc Tr?ch,Phú Tr?ch,Xã,645,B? Tr?ch,1,,
119153,10006,x,Xã Phú Tr?ch,Phúc Tr?ch,Xã,645,B? Tr?ch,1,,
119180,10009,x,Xã Tây Tr?ch,Tân Tr?ch,Xã,645,B? Tr?ch,1,,
119192,10010,x,Xã Tân Tr?ch,Tây Tr?ch,Xã,645,B? Tr?ch,1,,
119156,10012,x,Xã H?ng Tr?ch,Th??ng Tr?ch,Xã,645,B? Tr?ch,1,,
125399,5703,x,Xã ?ak Nhau,??k Nhau,Xã,380,Bù ??ng,1,,
128363,6136,x,Xã H?u M? B?c B,H?u M? B?c A,Xã,411,Cái Bè,1,,xã xin ch?i
128366,6137,x,Xã H?u M? B?c A,H?u M? B?c B,Xã,411,Cái Bè,1,,
128381,6146,x,Xã M? L?i B,M? L?i A,Xã,411,Cái Bè,1,,
128396,6147,x,Xã M? L?i A,M? L?i B,Xã,411,Cái Bè,1,,
131198,3119,x,Ph??ng Th??ng Th?nh,H?ng Th?nh,Ph??ng,227,Cái R?ng,1,,
131192,3123,x,Ph??ng H?ng Th?nh,Th??ng Th?nh,Ph??ng,227,Cái R?ng,1,,
108353,8789,x,Xã Ph??ng Xá,Ch??ng Xá,Xã,564,C?m Khê,1,,
108413,8800,x,Xã Ch??ng Xá,Ph??ng Xá,Xã,564,C?m Khê,1,,
119612,10149,x,Xã Cam Thành,Cam Thanh,Xã,652,Cam L?,1,,
119609,10150,x,Xã Cam Thanh,Cam Thành,Xã,652,Cam L?,1,,
106781,3914,x,Ph??ng C?m Th?nh,C?m Thành,Ph??ng,290,C?m Ph?,1,,
106790,3915,x,Ph??ng C?m Thành,C?m Th?nh,Ph??ng,290,C?m Ph?,1,,
118727,9365,x,Xã C?m Hà,C?m Hoà,Xã,599,C?m Xuyên,1,,
118709,9366,x,Xã C?m Nh??ng,C?m H?ng,Xã,599,C?m Xuyên,1,,
118691,9369,x,Xã C?m V?nh,C?m L?nh,Xã,599,C?m Xuyên,1,,
118733,9360,x,Xã C?m H?ng,C?m Nh??ng,Xã,599,C?m Xuyên,1,,
118697,9373,x,Xã C?m Quang,C?m Quan,Xã,599,C?m Xuyên,1,,
118724,9374,x,Xã C?m Quan,C?m Quang,Xã,599,C?m Xuyên,1,,
118736,9378,x,Xã C?m Th?nh,C?m Thành,Xã,599,C?m Xuyên,1,,
118694,9379,x,Xã C?m Thành,C?m Th?nh,Xã,599,C?m Xuyên,1,,
128138,2413,x,Xã Tân Lân,Tân Ân,Xã,170,C?n ???c,1,,
128147,2415,x,Xã Tân Ân,Tân Lân,Xã,170,C?n ???c,1,,
129272,10285,x,Xã An Tr??ng A,An Tr??ng,Xã,662,Càng Long,1,,
129275,10286,x,Xã An Tr??ng,An Tr??ng A,Xã,662,Càng Long,1,,
129863,9623,x,Ph??ng 11,1,Ph??ng,611,Cao Lãnh,1,,
129866,9624,x,Ph??ng 1,11,Ph??ng,611,Cao Lãnh,1,,
