Id1,Name GHTK, Id2, Name dev_Tuan, Parent_id 1, Simillar,
45990,Tân Biên 1,6941,Tân Biên,134,0.889,
45991,Tân Biên 2,6941,Tân Biên,134,0.889,
9688,Hòa Long,16105,Xã  Hòa Long,616,0.889,
9690,Lai Vung,16103,Thị trấn Lai Vung,616,0.889,
5496,Ia Kreng,15878,Xã Ia Kreng ,364,0.889,
5512,Nhơn Hòa,18545,Thị trấn Nhơn Hòa,365,0.889,
5514,AYun,15882,Xã Ayun,366,0.889,
5541,Ia O,19378,Xã Ia O,367,0.889,
5557,Hải Yang,15903,Xã Hải Yang ,368,0.889,
5564,Tân Bình,15906,Xã Tân Bình ,368,0.889,
5592,Ia O,15920,Xã Ia O,371,0.889,
5599,Ia Broăi,19282,Xã Xã Ia Broăi,372,0.889,
5610,Đông,19364,Xã Đông,373,0.889,
5658,Kon Dơng,18533,Thị trấn Kon Dỡng,376,0.889,
5684,Ia Kring­,13500,Phường Ia Kring,378,0.889,
11574,Vĩnh Tuy,18774,Thị trấn Vĩnh Tuy,742,0.889,
11576,Đồng Văn,19052,Thị trấn Đồng Văn,743,0.889,
11580,Lũng Táo,19057,Xã Lũng Táo ,743,0.889,
43612,05/19/18,13921,Đường 19/5,744,0.889,
43613,08/20/18,13905,Đường 20/8,744,0.889,
11671,Yên Bình,19019,Thị trấn Yên Bình,748,0.889,
11686,Phú Linh,23099,xã Phú  Linh,749,0.889,
11695,Vị Xuyên,16758,thị trấn Vị Xuyên,749,0.889,
11734,Yên Minh,19034,Thị trấn Yên Minh,751,0.889,
9315,Phú Phúc,17498,Thị trấn Phú Phúc,596,0.889,
9318,Vĩnh Trụ,17499,Thị trấn Vĩnh Trụ,596,0.889,
9320,Châu Sơn,5957,Phường Châu Sơn ,597,0.889,
9323,Kim Bình,5969,Xã Kim Bình ,597,0.889,
41470,08/24/18,11843,đường 24/8,597,0.889,
46744,Châu Sơn,5957,Phường Châu Sơn ,597,0.889,
9341,Kiện Khê,17496,Thị trấn Kiện Khê,598,0.889,
1102,Giảng Võ,148,Giảng Võ,88,0.889,
19311,Huyện Thanh Quan,22955,Bà Huyện Thanh Quan,88,0.889,
44825,6 Đội Nhân,150,Đội Nhân,88,0.889,
1134,Tây Đằng,4552,Thị trấn Tây Đằng,89,0.889,
19456,Phúc Vinh,18743,Phúc Minh,90,0.889,
19463,Tân Nhuệ 2,4014,Tân Nhuệ,90,0.889,
19466,Tân Xuân 2,914,Tân Xuân,90,0.889,
19485,800A,576,Đường 800A,91,0.889,
19488,Bưởi,1062,Đường Bưởi,91,0.889,
19575,Tràng Hòa,2139,Trung Hòa,91,0.889,
1165,Chúc Sơn,4583,Thị trấn Chúc Sơn,92,0.889,
1196,Xuân Mai,4584,Thị trấn Xuân Mai,92,0.889,
1216,Đông Anh,4162,Thị trấn Đông Anh,94,0.889,
45064,Đông Anh,4162,Thị trấn Đông Anh,94,0.889,
1239,Hàng Bột,492,Hàng Bột,95,0.889,
1251,Quốc Tử Giám,537,Quốc Tử Giám,95,0.889,
1253,Thổ Quan,68,Thổ Quan ,95,0.889,
19752,An Trạch 2,894,An Trạch,95,0.889,
19777,Hàng Bột,492,Hàng Bột,95,0.889,
19880,Vũ Thạnh,515,Vũ Thạnh,95,0.889,
45075,25 Vũ Ngọc Phan,525,Vũ Ngọc Phan,95,0.889,
19907,Cửu Việt,26229,Cửu Việt 1,96,0.889,
20060,Huyền Kỳ,3914,Huyền Kỳ,97,0.889,
20163,Trần Quang Đạo,3915,Trần Hưng Đạo,97,0.889,
45135,7 Trần Phú,753,Trần Phú,97,0.889,
1303,Đống Mác,443,Đống Mác,98,0.889,
1310,Phạm Đình Hổ,401,Phạm Đình Hổ,98,0.889,
20287,Phương Mai,473,Hồng Mai,98,0.889,
20331,Y.E.C Xanh,460,Yec Xanh,98,0.889,
1342,Hàng Bạc,321,Hàng Bạc,100,0.889,
1343,Hàng Bài,1053,Hàng Bài,100,0.889,
1347,Hàng Đào,322,Hàng Đào,100,0.889,
20403,Chương Dương,294,Chương Dương Độ,100,0.889,
20475,Hàng Rươi,372,Hàng Muối,100,0.889,
20476,Hàng Than,1035,Hàng Hành,100,0.889,
20515,Ngõ Quỳnh,354,Ngô Quyền,100,0.889,
20534,Nguyễn Văn Côn,272,Nguyễn Văn Tố,100,0.889,
1384,Chi Đông,4697,Thị trấn Chi Đông,103,0.889,
45466,Chi Đông,4697,Thị trấn Chi Đông,103,0.889,
45533,Mỹ Đình I,728,Mỹ Đình 1,105,0.889,
45567,X2 Mỹ Đình,4931,Xã Mỹ Đình,105,0.889,
1446,Phú Minh,4737,Thị trấn Phú Minh,106,0.889,
1470,Phúc Thọ,4765,Thị trấn Phúc Thọ,107,0.889,
1500,Quốc Oai,4788,Thị trấn Quốc Oai,108,0.889,
1534,Đường Lâm,4979,Xã Đường Lâm,110,0.889,
21271,Đường Lâm,4979,Xã Đường Lâm,110,0.889,
1682,Vân Đình,4940,Thị trấn Vân Đình,117,0.889,
9385, Xuân Lộc,17050,xã Xuân Lộc,600,0.889,
9480, Sơn Phúc,21286,xã Sơn Phúc,605,0.889,
9481,Phố Châu,21264,thị trấn Phố Châu,605,0.889,
9559, Xuân Hải,15336,xã Xuân Hải,608,0.889,
9560, Xuân Phổ,15413,xã Xuân Phổ,608,0.889,
9588,Thạch Hà,15446,xã Thạch Hải,609,0.889,
9622,Vũ Quang,23651,Thị trấn Vũ Quang,610,0.889,
5235,Lai Cách,7128,Thị trấn Lai Cách,351,0.889,
36031,Bạch Năng Thi,12311,đường Bạch Đăng Thi,354,0.889,
5319,Phú Thái,7152,Thị trấn Phú Thái,355,0.889,
5335,Kinh Môn,7178,Thị trấn Kinh Môn,356,0.889,
5340,Minh Tân,7179,Thị trấn Minh Tân,356,0.889,
5364,Nam Sách,7165,Thị trấn Nam Sách,357,0.889,
5411,Thanh Hà,17715,xã Thanh Hải,359,0.889,
28633,An Dương 1,6654,An Dương,154,0.889,
28634,An Dương 2,6654,An Dương,154,0.889,
2190, Đồng Bài,23883,xã Đồng Bài,157,0.889,
28773,Anh Dũng 6,26033,Anh Dũng,159,0.889,
28774,Anh Dũng 8,26033,Anh Dũng,159,0.889,
28781,Đông Lãm 1,25557,Đồng Lãm,159,0.889,
28937,Trực Cát 2,26681,Trực Cát,160,0.889,
29059,Cầu Niệm,10393,Cầu Niệm 2,162,0.889,
29089,Khúc Trì 1,13039,Khúc Trì,162,0.889,
29133,Trang Đồng Tử,13051,Trương Đổng Tử,162,0.889,
2266, An Dương,13411,An Dương ,164,0.889,
29167,Cầu Niệm 2,13410,Cầu Niệm,164,0.889,
29302,Nam Pháp,13162,Nam Pháp 2,165,0.889,
2318,Minh Đức,6638,Thị trấn Minh Đức,166,0.889,
2379,Vĩnh Bảo,6756,Thị trấn Vĩnh Bảo,168,0.889,
